player_name,player_id
Jeremy Lin,505
Gustavo Ayón,506
Julyan Stone,507
Kenneth Faried,508
Norris Cole,509
Danny Green,510
Isaiah Thomas,511
Cory Joseph,512
Tobias Harris,513
Dominique Jones,514
Tristan Thompson,515
Dexter Pittman,516
Jeremy Tyler,517
Lance Thomas,518
Nolan Smith,519
Donald Sloan,520
Alan Anderson,521
Ben Uzoh,522
Jordan Hamilton,523
Patty Mills,524
Luke Harangody,525
Daniel Orton,526
Terrel Harris,527
Jordan Williams,528
Luke Babbitt,529
Mickell Gladness,530
Lance Stephenson,531
Craig Brackins,532
Jerome Dyson,533
Earl Clark,534
Eddy Curry,535
Chris Wright,536
Bradley Beal,537
Dion Waiters,538
Jonas Valan?iūnas,539
Marcus Morris,540
Anthony Davis,541
Austin Rivers,542
Harrison Barnes,543
Damian Lillard,544
Michael Kidd-Gilchrist,545
Jared Sullinger,546
Festus Ezeli,547
E'Twaun Moore,548
DeQuan Jones,549
Jeff Taylor,550
Darius Miller,551
Jae Crowder,552
Malcolm Lee,553
Darius Morris,554
Kyle Singler,555
Maurice Harkless,556
Meyers Leonard,557
John Henson,558
Nando De Colo,559
Enes Freedom,560
Victor Claver,561
Alexey Shved,562
Chris Copeland,563
Tyler Zeller,564
Maalik Wayns,565
Joel Freeland,566
Andrew Nicholson,567
Shelvin Mack,568
James White,569
P.J. Tucker,570
Robert Sacre,571
DeAndre Liggins,572
Jimmy Butler,573
John Jenkins,574
Royal Ivey,575
Ivan Johnson,576
Bernard James,577
Jeff Adrien,578
Mickaël Gelabale,579
Evan Fournier,580
Donatas Motiejūnas,581
Draymond Green,582
Terrence Ross,583
Brian Roberts,584
Pablo Prigioni,585
Kyle O'Quinn,586
Kendall Marshall,587
Andre Drummond,588
Greg Smith,589
Will Barton,590
Mike Scott,591
Perry Jones,592
Patrick Beverley,593
Andrew Goudelock,594
Reggie Jackson,595
Aron Baynes,596
Vítor Luiz Faverani,597
Michael Carter-Williams,598
Khris Middleton,599
Miles Plumlee,600
Nate Wolters,601
Kelly Olynyk,602
Terrence Jones,603
Tony Wroten,604
Robbie Hummel,605
Ben McLemore,606
Steven Adams,607
Alec Burks,608
Kentavious Caldwell-Pope,609
Andre Roberson,610
Victor Oladipo,611
Matthew Dellavedova,612
Trey Burke,613
Tony Snell,614
Sergey Karasev,615
Tyshawn Taylor,616
Gal Mekel,617
Hollis Thompson,618
Tim Hardaway Jr.,619
